Tên chung cư,Giá trung bình trên m2,District,Ward,latitude,longitude,,,
Citi Home,48.43,Quận 2,Phường Cát Lái,10.778,106.77,,,
Citi Soho,47.68,Quận 2,Phường Cát Lái,10.778,106.77,,,
Feliz En Vista,125.08,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,,,
Khu dân cư Thạnh Mỹ Lợi,40.77,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,,,
One Verandah Mapletree,105.54,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,,,
The CBD Premium Home,54.28,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,,,
Thủ Thiêm Dragon,88.12,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,,,
Thủ Thiêm Green House,34.35,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,,,
Victoria Village,90.4,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,,,
Vista Verde,93.19,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,,,
Waterina Suites,135.95,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,,,
C.T Plaza Minh Châu,58.33,Quận 3,Phường 12,10.777,106.678,,,
Screc Tower,60,Quận 3,Phường 12,10.777,106.678,,,
Avalon Saigon Apartments,163.64,Quận 1,Phường Bến Nghé,10.7769,106.7009,,,
Grand Marina Saigon,378.86,Quận 1,Phường Bến Nghé,10.7769,106.7009,,,
Sailing Tower,171.16,Quận 1,Phường Bến Nghé,10.7769,106.7009,,,
Vincom Center TP HCM,245.88,Quận 1,Phường Bến Nghé,10.7769,106.7009,,,
Vinhomes Golden River Ba Son,240.26,Quận 1,Phường Bến Nghé,10.7769,106.7009,,,
The Lancaster - Hồ Chí Minh,169.17,Quận 1,Phường Nguyễn Cư Trinh,10.7756,106.7004,,,
Căn hộ 8X Rainbow,38.54,Quận Bình Tân,Phường Bình Hưng Hòa A,10.775,106.596,,,
Chung cư Ngô Gia Tự,59.76,Quận 10,Phường 2,10.7725,106.6681,,,
Chung Cư Nguyễn Kim,54.64,Quận 10,Phường 7,10.7725,106.6681,,,
Căn hộ RichStar,55.45,Tân Phú,Phường Hiệp Tân,10.772,106.623,,,
The One Sài Gòn,137.92,Quận 1,Phường Nguyễn Thái Bình,10.771,106.696,,,
Chung cư Trần Văn Kiểu,41.07,Quận 10,Phường 14,10.77,106.66,,,
Kingdom 101,94,Quận 10,Phường 14,10.77,106.66,,,
Rivera Park Sài Gòn,73.38,Quận 10,Phường 14,10.77,106.66,,,
Thiên Nam Apartment,83.2,Quận 10,Phường 14,10.77,106.66,,,
Xi Grand Court,86.97,Quận 10,Phường 14,10.77,106.66,,,
Charmington La Pointe,53.55,Quận 10,Phường 12,10.768,106.665,,,
HaDo Centrosa Garden,117.4,Quận 10,Phường 12,10.768,106.665,,,
Hoàng Kim Thế Gia (The Golden Dynasty),46.85,Quận Bình Tân,Phường Bình Trị Đông,10.768,106.605,,,
Central Garden,73.22,Quận 1,Phường Cô Giang,10.766,106.696,,,
Lancaster Legacy,279.85,Quận 1,Phường Nguyễn Cư Trinh,10.766,106.6893,,,
Soho Residence,129.28,Quận 1,Phường Cô Giang,10.766,106.696,,,
The Grand Manhattan,206.55,Quận 1,Phường Cô Giang,10.766,106.696,,,
D1Mension,117.02,Quận 1,Phường Cầu Kho,10.765,106.693,,,
Zenity,129.94,Quận 1,Phường Cầu Kho,10.765,106.693,,,
Chung cư Cây Mai,46,Quận 11,Phường 16,10.762,106.65,,,
Chung cư Phú Thọ,58.46,Quận 11,Phường 15,10.762,106.637,,,
Hoa Sen - Lotus Apartment,57.89,Quận 11,Phường 10,10.762,106.65,,,
Khu căn hộ Thuận Việt,61.66,Quận 11,Phường 15,10.762,106.637,,,
Lữ Gia Plaza,58,Quận 11,Phường 15,10.762,106.637,,,
Tân Phước Plaza,51.82,Quận 11,Phường 7,10.762,106.65,,,
The EverRich I,69.56,Quận 11,Phường 15,10.762,106.637,,,
The Flemington,71.97,Quận 11,Phường 15,10.762,106.637,,,
The Park Avenue,100.56,Quận 11,Phường 15,10.762,106.637,,,
Chung cư 312 Lạc Long Quân,50.21,Quận 11,Phường 5,10.76,106.646,,,
Chung cư Khánh Hội 1,54.57,Quận 4,Phường 1,10.76,106.706,,,
Chung cư Khánh Hội 2,66.75,Quận 4,Phường 1,10.76,106.706,,,
Chung cư Tôn Thất Thuyết,61.71,Quận 4,Phường 1,10.76,106.706,,,
De La Sol,118.25,Quận 4,Phường 1,10.76,106.706,,,
Galaxy 9,85.1,Quận 4,Phường 1,10.76,106.706,,,
Khu căn hộ Khải Hoàn,42.56,Quận 11,Phường 5,10.76,106.646,,,
The Gold View,91.3,Quận 4,Phường 1,10.76,106.706,,,
Vạn Đô,66.67,Quận 4,Phường 1,10.76,106.706,,,
Res 11,66.67,Quận 11,Phường 3,10.759,106.653,,,
Akari City Nam Long,59.65,Quận Bình Tân,Phường An Lạc,10.758,106.602,,,
Ansana By Kita,86.57,Quận Bình Tân,Phường An Lạc,10.758,106.602,,,
Chung cư Lê Thành,37.43,Quận Bình Tân,Phường An Lạc,10.758,106.602,,,
Imperial Place,38.8,Quận Bình Tân,Phường An Lạc,10.758,106.602,,,
Khu căn hộ EHome 3,41.75,Quận Bình Tân,Phường An Lạc,10.758,106.602,,,
Khu dân cư Hai Thành - Tên Lửa,48.55,Quận Bình Tân,Phường Bình Trị Đông B,10.758,106.592,,,
The Privia,64.92,Quận Bình Tân,Phường An Lạc,10.758,106.602,,,
