TenChungCu,GiaTrenM2,District,Ward,latitude,longitude,Quan_huyen_goc,Phuong_xa,Quan_huyen,dist_hospital_m,dist_mall_m,dist_metro_m,dist_university_m,Dien_tich_km2,SoChungCu,MatDoChungCu,hospital_cnt,mall_cnt,metro_cnt,university_cnt,price_segment,dist_hospital_discrete,dist_mall_discrete,dist_metro_discrete,dist_university_discrete,district_discrete
Khu dân cư Gia Hòa,65.67,Quận 9,Phường Phước Long B,10.84,106.77,Quận 9,Phước Long B,Thành phố Thủ Đức,983.0148065130346,1212.120899861216,731.3128002204138,624.4752198260279,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Gần,Gần,Gần,Gần,Quận 9
Lavita Charm,65.89,Thành phố Thủ Đức,Phường Trường Thọ,10.84,106.75,Thủ Đức,Trường Thọ,Thành phố Thủ Đức,2514.725250304884,1986.2399933255929,1723.1607732844004,1602.671229001453,5.089595406923178,6,1.178875631614732,0,0,2,0,Trung bình,Xa,Xa,Xa,Xa,Thủ Đức
Lucky Dragon,70.83,Quận 9,Phường Phước Long B,10.84,106.77,Quận 9,Phước Long B,Thành phố Thủ Đức,983.0148065130346,1212.120899861216,731.3128002204138,624.4752198260279,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Gần,Gần,Gần,Gần,Quận 9
The Art,64.56,Quận 9,Phường Phước Long B,10.84,106.77,Quận 9,Phước Long B,Thành phố Thủ Đức,983.0148065130346,1212.120899861216,731.3128002204138,624.4752198260279,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Gần,Gần,Gần,Gần,Quận 9
Thủ Thiêm Garden,55.47,Quận 9,Phường Phước Long B,10.84,106.77,Quận 9,Phước Long B,Thành phố Thủ Đức,983.0148065130346,1212.120899861216,731.3128002204138,624.4752198260279,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Gần,Gần,Gần,Gần,Quận 9
The Rainbow - Vinhomes Grand Park,51.05,Quận 9,Phường Long Thạnh Mỹ,10.833,106.81,Quận 9,Long Thạnh Mỹ,Thành phố Thủ Đức,776.1723227926751,2410.052292393899,3690.7479214821788,529.034675978094,12.025499869330018,2,0.16631325281544632,1,0,0,4,Trung bình,Gần,Xa,Xa,Gần,Quận 9
Vinhomes Grand Park,61.05,Quận 9,Phường Long Thạnh Mỹ,10.833,106.81,Quận 9,Long Thạnh Mỹ,Thành phố Thủ Đức,776.1723227926751,2410.052292393899,3690.7479214821788,529.034675978094,12.025499869330018,2,0.16631325281544632,1,0,0,4,Trung bình,Gần,Xa,Xa,Gần,Quận 9
Chung cư MT Eastmark City,51.15,Quận 9,Phường Long Trường,10.828,106.804,Quận 9,Tăng Nhơn Phú A,Thành phố Thủ Đức,1634.337102685563,2583.237285755889,3808.0901679506064,1240.3340831283363,4.139269561028143,1,0.24158851827751285,1,1,0,5,Trung bình,Xa,Xa,Xa,Gần,Quận 9
Căn hộ Cao cấp Mỹ Long,53.12,Thủ Đức,Phường Hiệp Bình Chánh,10.825,106.716,Thủ Đức,Hiệp Bình Chánh,Thành phố Thủ Đức,2736.170766028803,673.9945636984722,3328.481560147936,614.3969326769312,6.534798496003078,6,0.9181614404284723,0,2,0,1,Trung bình,Xa,Gần,Xa,Gần,Thủ Đức
Căn hộ Hausneo,61.76,Quận 9,Phường Phú Hữu,10.813,106.788,Quận 9,Phước Long B,Thành phố Thủ Đức,1656.4218422541546,3658.7077635912824,3391.4942924182983,2162.4843165148927,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Xa,Xa,Xa,Xa,Quận 9
Căn hộ Ricca Quận 9,47.12,Quận 9,Phường Phú Hữu,10.813,106.788,Quận 9,Phước Long B,Thành phố Thủ Đức,1656.4218422541546,3658.7077635912824,3391.4942924182983,2162.4843165148927,5.864574508305687,16,2.7282456685203753,0,0,0,0,Thấp,Xa,Xa,Xa,Xa,Quận 9
Jamila Khang Điền,66.29,Quận 9,Phường Phú Hữu,10.813,106.788,Quận 9,Phước Long B,Thành phố Thủ Đức,1656.4218422541546,3658.7077635912824,3391.4942924182983,2162.4843165148927,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Xa,Xa,Xa,Xa,Quận 9
Kikyo Residence,60.44,Quận 9,Phường Phú Hữu,10.813,106.788,Quận 9,Phước Long B,Thành phố Thủ Đức,1656.4218422541546,3658.7077635912824,3391.4942924182983,2162.4843165148927,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Xa,Xa,Xa,Xa,Quận 9
Safira Khang Điền,65.87,Quận 9,Phường Phú Hữu,10.813,106.788,Quận 9,Phước Long B,Thành phố Thủ Đức,1656.4218422541546,3658.7077635912824,3391.4942924182983,2162.4843165148927,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Xa,Xa,Xa,Xa,Quận 9
