Quan_huyen,Quan_huyen_goc,Phuong_xa,Dien_tich_km2,geometry,SoChungCu,GiaTrungBinh,GiaTrungVi,GiaMin,GiaMax,MatDoChungCu,hospital_cnt,mall_cnt,metro_cnt,university_cnt,dist_hospital_m,dist_mall_m,dist_metro_m,dist_university_m,PotentialScore,rank
Thành phố Thủ Đức,Thủ Đức,Trường Thọ,5.089595406923178,"POLYGON ((106.75098419200003 10.812877656000182, 106.75122833300009 10.828183174000173, 106.74916076700009 10.83242035000012, 106.74739837700008 10.833538055000133, 106.74936676100009 10.836228371000175, 106.74835205100015 10.837200166000173, 106.74674224800009 10.837210655999968, 106.74709320000017 10.839304924999965, 106.74871063300014 10.839820862000124, 106.74830627400019 10.842178345000036, 106.74942016600016 10.842170716000055, 106.74978637600009 10.843991279000136, 106.7520904540001 10.84638118900017, 106.75314331100009 10.846481324000024, 106.75305938700006 10.848666191000063, 106.75518035900006 10.85122108500002, 106.75867462200006 10.850662232000104, 106.75892639200009 10.849090576000094, 106.76342773500016 10.842188835, 106.76576995800008 10.840515137000125, 106.76732635500014 10.837972642000125, 106.76592254700017 10.835462570000118, 106.75912475600018 10.8231220240001, 106.75698089600007 10.81312275, 106.75098419200003 10.812877656000182))",6,48.56,44.76,36.2,65.89,1.178875631614732,0,0,2,0,2273.207861734631,1698.1896054326041,1441.542039044769,1255.108474525807,0.1785781956097015,11
Thành phố Thủ Đức,Quận 9,Long Thạnh Mỹ,12.025499869330018,"POLYGON ((106.81406402599998 10.870150565000074, 106.814353944 10.871375085000125, 106.8153610240002 10.87114715700011, 106.8305740360002 10.85729789800007, 106.83621215800008 10.854041100000074, 106.83811950700004 10.854026795000038, 106.83779907299999 10.852840424000021, 106.83692169200015 10.85277175900012, 106.83644103900008 10.850225449000106, 106.83776092600016 10.850111961000096, 106.83796691800012 10.846108436000065, 106.83641815300012 10.846314431000167, 106.83413696300005 10.845301628000072, 106.83604431100014 10.842526436000185, 106.83887481800008 10.84047889700014, 106.83752441500019 10.838817597000173, 106.8380889890002 10.838168144000178, 106.83919525100004 10.838332177000154, 106.8392181390002 10.837579727000048, 106.838020325 10.835528373000159, 106.83687591500018 10.836071968000113, 106.8366546640001 10.834903716000042, 106.8377914420002 10.833558083000185, 106.83615112300009 10.8331289300001, 106.837371825 10.832239151000124, 106.83648681600005 10.831263543000034, 106.83570098900015 10.827220916000158, 106.83209991500007 10.826912879000133, 106.82963562000003 10.827504159000057, 106.82473754800009 10.82564067900006, 106.82019805800002 10.828971863000163, 106.81494903700013 10.830770492, 106.81160736000015 10.830279350000069, 106.80840301500012 10.827798843000096, 106.80634307900004 10.827134132000083, 106.80093383800005 10.834647179000058, 106.805252075 10.838164329000108, 106.80509185800014 10.839776039000071, 106.80577850400016 10.84080696000018, 106.80498504700012 10.842172622000021, 106.80607604900013 10.845720291000191, 106.80534362700013 10.848167420000095, 106.81369781600006 10.850289345000022, 106.81347656300017 10.862934112000119, 106.81406402599998 10.870150565000074))",2,56.05,56.05,51.05,61.05,0.16631325281544632,1,0,0,4,776.1723227926751,2410.052292393899,3690.7479214821788,529.034675978094,0.09587074134191803,12
Thành phố Thủ Đức,Thủ Đức,Hiệp Bình Chánh,6.534798496003078,"POLYGON ((106.71318817100018 10.821173668000029, 106.70996856700003 10.82375431100013, 106.70908355600011 10.825600625000106, 106.70822906600011 10.83372688300011, 106.71029663100018 10.834519386000068, 106.71285247800017 10.83436870600002, 106.71698760900011 10.836126328000148, 106.72229766800007 10.835091590000161, 106.72671508700012 10.850844383000151, 106.73426818900015 10.849390030000166, 106.73784637400013 10.847096443, 106.73926544300008 10.845182420000185, 106.73854064900013 10.841549873000076, 106.73985290500019 10.835525513000107, 106.7367935170002 10.833500863000097, 106.73233795100009 10.826512338000157, 106.729850769 10.824186326000074, 106.7230987550002 10.820981026000084, 106.71715545700016 10.820258140000135, 106.71421051100003 10.820795060000137, 106.71318817100018 10.821173668000029))",6,54.93666666666667,54.05,38.12,65.9,0.9181614404284723,0,2,0,1,2830.3171673857737,959.8569392592013,3275.6699689494785,1278.0348100996946,0.07888184622005631,13
Thành phố Thủ Đức,Quận 9,Long Bình,17.79214543883482,"POLYGON ((106.81279754600001 10.87882709400003, 106.81381225600012 10.878423690999966, 106.81630706800013 10.881352424999989, 106.81729888900003 10.881331444000125, 106.81780242800005 10.884227752000129, 106.81894683900015 10.88444709800018, 106.81934356800002 10.885924339000098, 106.82007598900015 10.886462212000083, 106.82088470500008 10.88575267900012, 106.82183074900001 10.886004448000051, 106.82492065400015 10.888216019000026, 106.82376098700007 10.892024040000024, 106.82512664900008 10.892923355000107, 106.82508087200011 10.89380931900007, 106.82582092400003 10.893693924, 106.82678222599998 10.89473915200017, 106.82804107800007 10.89422988900003, 106.82971191400009 10.894795418, 106.83392334100012 10.898297309000156, 106.84024047900004 10.898928643000147, 106.84301757700013 10.891286851000075, 106.84358978200015 10.883964540000022, 106.84595489500015 10.882289887000127, 106.85106658900014 10.876282692000188, 106.8507614130001 10.873081207999974, 106.84673309400017 10.864876748000086, 106.84957122900005 10.85624122600018, 106.85668945300017 10.84267807000009, 106.85311889600007 10.836006165000072, 106.84899902300015 10.834421158000112, 106.84572601400015 10.831160546000149, 106.84359741200007 10.830757142000152, 106.83972930800013 10.832517624000161, 106.837371825 10.832239151000124, 106.83615112300009 10.8331289300001, 106.8377914420002 10.833558083000185, 106.8366546640001 10.834903716000042, 106.83687591500018 10.836071968000113, 106.838020325 10.835528373000159, 106.8392181390002 10.837579727000048, 106.83919525100004 10.838332177000154, 106.8380889890002 10.838168144000178, 106.83752441500019 10.838817597000173, 106.83887481800008 10.84047889700014, 106.83604431100014 10.842526436000185, 106.83413696300005 10.845301628000072, 106.83641815300012 10.846314431000167, 106.83796691800012 10.846108436000065, 106.83776092600016 10.850111961000096, 106.83644103900008 10.850225449000106, 106.83692169200015 10.85277175900012, 106.83779907299999 10.852840424000021, 106.83811950700004 10.854026795000038, 106.83621215800008 10.854041100000074, 106.8305740360002 10.85729789800007, 106.8153610240002 10.87114715700011, 106.814353944 10.871375085000125, 106.81406402599998 10.870150565000074, 106.80767059300013 10.871809006000035, 106.80857086300017 10.873026848000109, 106.81279754600001 10.87882709400003))",0,0.0,,,,0.0,1,2,0,0,0.0,0.0,0.0,0.0,0.05466405489896876,14
Thành phố Thủ Đức,Quận 9,Phước Long B,5.864574508305687,"POLYGON ((106.78108978300008 10.794502257999966, 106.77680206200017 10.808998107000036, 106.77427673300019 10.816679955000097, 106.77146148700012 10.822129250000046, 106.76948547400019 10.823645591000172, 106.76717376800002 10.834185600000126, 106.76592254700017 10.835462570000118, 106.76732635500014 10.837972642000125, 106.76906585699999 10.841035843000043, 106.77072143500004 10.83997249600003, 106.77072143500004 10.838915824000026, 106.77125549200008 10.839404107000178, 106.77124023400006 10.83857345600012, 106.77115631000004 10.835583687999986, 106.78141784600018 10.827972411000076, 106.781097413 10.827463150000085, 106.78275299100005 10.826165199000116, 106.78237915100004 10.825336457000105, 106.78752136200012 10.821345329999986, 106.78858184900002 10.816329003000021, 106.787559509 10.81473636600009, 106.78993988000008 10.815056801000082, 106.79032898000008 10.813189506000015, 106.79336547800017 10.808028222000189, 106.79328918400006 10.805346489000101, 106.7896957390002 10.804695130000084, 106.78815460100003 10.801053047000096, 106.78694915700015 10.800436021000053, 106.7847824110001 10.800623895000115, 106.78277587900016 10.799592972000028, 106.78186798200011 10.795143128000063, 106.78108978300008 10.794502257999966))",16,56.54875,56.505,43.59,70.83,2.7282456685203753,0,0,0,0,1277.6303846497747,2282.50265274312,1895.1422030569884,1297.3541996274062,-0.013421091676454895,15
Thành phố Thủ Đức,Thủ Đức,Tam Phú,3.0966875510767027,"POLYGON ((106.74790191700004 10.868369102000031, 106.74871063300014 10.865634919000172, 106.750526428 10.864026071000126, 106.75122833300009 10.864435197000034, 106.75176239100006 10.863369942000077, 106.75164794800008 10.858967781000104, 106.75094604499998 10.85941505500017, 106.74856567400013 10.858955383000136, 106.7464218130001 10.860171318000141, 106.74347686800007 10.859930039000119, 106.7422714240002 10.858167649000166, 106.74233245900018 10.854475976000174, 106.74055480900017 10.849345207999988, 106.74102783300003 10.846736908000025, 106.73926544300008 10.845182420000185, 106.73784637400013 10.847096443, 106.73426818900015 10.849390030000166, 106.72671508700012 10.850844383000151, 106.7297821040001 10.85836505800006, 106.73350524800014 10.861557007000101, 106.73700714199998 10.86246109000001, 106.73748016400003 10.86400032, 106.74039459300008 10.86511611900005, 106.74107360800019 10.867079734000072, 106.74432373000019 10.867506027000104, 106.74530792300015 10.868412019000118, 106.74790191700004 10.868369102000031))",1,34.95,34.95,34.95,34.95,0.3229257015782251,2,0,0,0,1205.3633456768766,3346.5405131358516,4139.910719355615,2117.3209468309633,-0.1365037415764332,16
Thành phố Thủ Đức,Quận 2,Thạnh Mỹ Lợi,13.21504781679274,"POLYGON ((106.79125213600008 10.755603790000066, 106.77622223000014 10.748719215000051, 106.7677383420002 10.741927147000126, 106.75878143300014 10.744710922000138, 106.75190734800003 10.741889, 106.74796295100009 10.741885185000172, 106.7461929320001 10.742741584999976, 106.74460601800007 10.74485397400008, 106.74418640100009 10.74769306200011, 106.74478149400005 10.750982284000145, 106.75158691500008 10.760910989000024, 106.75263977000009 10.763586044000078, 106.75190734800003 10.768115997000166, 106.74765014600007 10.773661614000105, 106.75505828800016 10.782747269000026, 106.75791931200013 10.78340625800007, 106.76065826500013 10.782127381000066, 106.76532745400004 10.776850701000114, 106.77365112400003 10.771412849000114, 106.79125213600008 10.755603790000066))",10,99.916,91.795,34.35,231.48,0.7567131151271895,0,0,0,0,946.1540578280299,1252.2999291388915,3366.369245808007,4071.66202702986,-0.17168475211844164,17
Thành phố Thủ Đức,Thủ Đức,Tam Bình,2.172261665652813,"POLYGON ((106.74644470200013 10.873877525000069, 106.747047425 10.872070313000108, 106.74600219600012 10.871729852000101, 106.74793243400012 10.869297981000045, 106.74790191700004 10.868369102000031, 106.74530792300015 10.868412019000118, 106.74432373000019 10.867506027000104, 106.74107360800019 10.867079734000072, 106.74039459300008 10.86511611900005, 106.73748016400003 10.86400032, 106.73700714199998 10.86246109000001, 106.73350524800014 10.861557007000101, 106.7297821040001 10.85836505800006, 106.72946929900007 10.86080074400013, 106.72690582400014 10.861500740000167, 106.72678375300012 10.863368035, 106.72980499200003 10.866049766000117, 106.726791381 10.86614894800016, 106.72695922900004 10.86932277700015, 106.72571563800011 10.869740486000126, 106.72463226200017 10.871468544000152, 106.7267684950001 10.87306404200018, 106.72837829500003 10.87276554000016, 106.72920227100019 10.873781205000057, 106.72996521000016 10.873460770000122, 106.73186492900004 10.875014306000082, 106.7338180550002 10.870288849000133, 106.74644470200013 10.873877525000069))",5,45.284000000000006,42.23,38.42,56.2,2.3017484859483486,0,0,0,0,1472.184393714575,3795.630504697923,4711.606448319837,2585.952745692633,-0.2062235468608548,18
Thành phố Thủ Đức,Quận 2,Cát Lái,6.662225659959667,"POLYGON ((106.81008911200013 10.774617196000122, 106.80557251000016 10.770088196000188, 106.80329895100004 10.762518884000087, 106.79915618900014 10.758993149000105, 106.79125213600008 10.755603790000066, 106.77365112400003 10.771412849000114, 106.76532745400004 10.776850701000114, 106.76065826500013 10.782127381000066, 106.76205444300001 10.782455444000107, 106.76537322899998 10.781482698000104, 106.76945495500001 10.78188800900017, 106.77124786400015 10.782074928000043, 106.77166748100012 10.780620575000057, 106.7728958140001 10.779654501999971, 106.77231597900015 10.777932167000017, 106.77302551200017 10.776069642000039, 106.78204345700016 10.775698662000082, 106.78544616700015 10.774735451000026, 106.78708648600002 10.776615142000026, 106.78944396900016 10.775216102000115, 106.78992462200006 10.778491975000179, 106.79710388100011 10.778722763000076, 106.79906463499998 10.776021957000069, 106.8023452760001 10.775157928999988, 106.80429840000005 10.77615356500013, 106.80647277700012 10.77601051400012, 106.81008911200013 10.774617196000122))",5,51.746,48.43,47.68,60.48,0.7504999462942644,0,0,0,1,499.7205850652057,1230.385954688888,3743.8077941476818,3094.623267247556,-0.24234616594618438,19
Thành phố Thủ Đức,Thủ Đức,Linh Chiểu,1.4093954477637314,"POLYGON ((106.77342224100005 10.849568368000178, 106.76820373599998 10.849732399000175, 106.76289367700019 10.850870132000068, 106.75867462200006 10.850662232000104, 106.75518035900006 10.85122108500002, 106.7546463010001 10.853255271000137, 106.7554855350001 10.855172158000187, 106.76092529300001 10.860893249000071, 106.76393127400013 10.85724639800003, 106.76870727500017 10.8544368740001, 106.771636962 10.853962899000066, 106.77296447700019 10.85441017200003, 106.7743988040001 10.85165596100012, 106.77342224100005 10.849568368000178))",0,0.0,,,,0.0,0,0,0,3,0.0,0.0,0.0,0.0,-0.24952761903911874,20
